iid	tag
1230	2
1231	9
1232	27
1233	9
1234	17
1235	9
1236	23
1237	0
1238	0
1239	17
1240	14
1241	9
1242	0
1243	0
1244	11
1245	22
1246	0
1247	0
1248	0
1249	11
1250	27
1251	27
1252	10
1253	0
1254	17
1255	2
1256	2
1257	2
1258	8
1259	2
1260	23
1261	17
1262	2
1263	10
1264	9
1265	5
1266	16
1267	2
1268	5
1269	13
1270	21
1271	5
1272	5
1273	5
1274	16
1275	2
1276	5
1277	13
1278	2
1279	2
1280	5
1281	5
1282	5
1283	2
1284	5
1285	5
1286	5
1287	5
1288	5
1289	2
1290	5
1291	5
1292	5
1293	13
1294	5
1295	5
1296	2
1297	5
1298	16
1299	2
1300	5
1301	5
1302	5
1303	5
1304	2
1305	13
1306	5
1307	5
1308	10
1309	2
1310	2
1311	2
1312	13
1313	7
1314	10
1315	10
1316	22
1317	2
1318	5
1319	10
1320	5
1321	2
1322	13
1323	5
1324	22
1325	5
1326	5
1327	4
1328	5
1329	5
1330	5
1331	5
1332	9
1333	23
1334	23
1335	17
1336	3
1337	0
1338	11
1339	0
1340	2
1341	17
1342	9
1343	0
1344	0
1345	5
1346	9
1347	9
1348	9
1349	9
1350	4
1351	4
1352	9
1353	9
1354	5
1355	22
1356	23
1357	7
1358	5
1359	13
1360	22
1361	9
1362	23
1363	9
1364	9
1365	9
1366	9
1367	5
1368	11
1369	12
1370	20
1371	17
1372	17
1373	17
1374	20
1375	0
1376	18
1377	0
1378	10
1379	0
1380	9
1381	20
1382	1
1383	7
1384	5
1385	7
1386	2
1387	0
1388	3
1389	5
1390	18
1391	0
1392	0
1393	22
1394	0
1395	0
1396	22
1397	13
1398	0
1399	0
1400	0
1401	0
1402	0
1403	0
1404	0
1405	0
1406	0
1407	5
1408	0
1409	0
1410	5
1411	11
1412	0
1413	5
1414	5
1415	9
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	22
1423	5
1424	11
1425	23
1426	4
1427	1
1428	4
1429	13
1430	0
1431	5
1432	9
1433	9
1434	7
1435	13
1436	5
1437	16
1438	5
1439	2
1440	1
1441	15
1442	0
1443	0
1444	0
1445	0
1446	0
1447	0
1448	0
1449	0
1450	0
1451	0
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	3
1477	0
1478	9
1479	0
1480	0
1481	0
1482	0
1483	0
1484	0
1485	0
1486	0
1487	0
1488	0
1489	0
1490	17
1491	0
1492	18
1493	0
1494	2
1495	2
1496	2
1497	2
1498	4
1499	9
1500	9
1501	9
1502	9
1503	9
1504	8
1505	8
1506	2
1507	26
1508	16
1509	5
1510	22
1511	20
1512	13
1513	20
1514	2
1515	17
1516	20
1517	2
1518	2
1519	8
1520	8
1521	2
1522	1
1523	5
1524	11
1525	22
1526	5
1527	5
1528	5
1529	13
1530	1
1531	8
1532	2
1533	2
1534	5
1535	16
1536	2
1537	5
1538	0
1539	5
1540	2
1541	8
1542	13
1543	8
1544	11
1545	5
1546	16
1547	23
1548	5
1549	14
1550	5
1551	13
1552	11
1553	11
1554	5
1555	2
1556	2
1557	9
1558	11
1559	5
1560	11
1561	11
1562	0
1563	2
1564	5
1565	5
1566	5
1567	8
1568	27
1569	2
1570	14
1571	2
1572	10
1573	8
1574	11
1575	5
1576	13
1577	13
1578	13
1579	1
1580	8
1581	5
1582	13
1583	8
1584	8
1585	13
1586	5
1587	8
1588	13
1589	5
1590	13
1591	13
1592	5
1593	23
1594	5
1595	8
1596	13
1597	9
1598	13
1599	9
1600	1
1601	5
1602	3
1603	0
1604	1
1605	4
1606	1
1607	1
1608	9
1609	23
1610	23
1611	1
1612	1
1613	1
1614	1
1615	17
1616	0
1617	0
1618	5
1619	9
1620	9
1621	9
1622	9
1623	8
1624	23
1625	5
1626	0
1627	22
1628	0
1629	1
1630	4
1631	4
1632	9
1633	0
1634	22
1635	22
1636	18
1637	21
1638	0
1639	22
1640	1
1641	1
1642	0
1643	0
1644	0
1645	0
1646	0
1647	9
1648	2
1649	0
1650	11
1651	9
1652	9
1653	9
1654	8
1655	0
1656	9
1657	1
1658	5
1659	2
1660	1
1661	5
1662	3
1663	5
1664	3
1665	2
1666	2
1667	2
1668	2
1669	2
1670	9
1671	2
1672	2
1673	2
1674	2
1675	2
1676	2
1677	2
1678	2
1679	2
1680	2
1681	2
1682	2
1683	2
1684	2
1685	2
1686	2
1687	2
1688	2
1689	2
1690	8
1691	5
1692	2
1693	11
1694	13
1695	11
1696	5
1697	5
1698	8
1699	2
1700	22
1701	13
1702	13
1703	23
1704	15
1705	23
1706	5
1707	15
1708	13
1709	0
1710	17
1711	27
1712	0
1713	1
1714	0
1715	5
1716	2
1717	2
1718	9
1719	2
1720	8
1721	5
1722	5
1723	2
1724	16
1725	11
1726	21
1727	21
1728	0
1729	0
1730	0
1731	4
1732	4
1733	4
1734	0
1735	9
1736	9
1737	4
1738	4
1739	13
1740	0
1741	1
1742	0
1743	3
1744	3
1745	0
1746	4
1747	5
1748	24
1749	10
1750	22
1751	22
1752	11
1753	2
1754	2
1755	0
1756	2
1757	22
1758	22
1759	20
1760	0
1761	0
1762	23
1763	2
1764	5
1765	0
1766	2
1767	7
1768	2
1769	5
1770	22
1771	5
1772	2
1773	1
1774	7
1775	5
1776	7
1777	2
1778	5
1779	5
1780	7
1781	22
1782	23
1783	13
1784	11
1785	9
1786	2
1787	5
1788	1
1789	7
1790	2
1791	5
1792	9
1793	0
1794	9
1795	0
1796	5
1797	9
1798	7
1799	1
1800	7
1801	5
1802	5
1803	12
1804	5
1805	13
1806	0
1807	5
1808	7
1809	9
1810	0
1811	4
1812	5
1813	9
1814	4
1815	5
1816	5
1817	5
1818	5
1819	5
1820	0
1821	5
1822	5
1823	5
1824	5
1825	0
1826	5
1827	0
1828	0
1829	5
1830	0
1831	0
1832	5
1833	5
1834	5
1835	5
1836	5
1837	2
1838	5
1839	5
1840	0
1841	5
1842	5
1843	5
1844	5
1845	9
1846	1
1847	5
1848	5
1849	9
1850	5
1851	5
1852	5
1853	5
1854	0
1855	4
1856	9
1857	9
1858	9
1859	0
1860	9
1861	9
1862	0
1863	0
1864	17
1865	5
1866	0
1867	0
1868	0
1869	0
1870	3
1871	17
1872	0
1873	2
1874	2
1875	4
1876	5
1877	23
1878	10
1879	2
1880	5
1881	5
1882	2
1883	4
1884	10
1885	2
1886	3
1887	2
1888	2
1889	2
1890	2
1891	2
1892	2
1893	16
1894	2
1895	2
1896	9
1897	11
1898	5
1899	5
1900	13
1901	11
1902	1
1903	0
1904	2
1905	2
1906	0
1907	0
1908	0
1909	22
1910	23
1911	0
1912	0
1913	0
1914	0
1915	0
1916	0
1917	0
1918	0
1919	0
1920	0
1921	0
1922	4
1923	4
1924	1
1925	23
1926	23
1927	0
1928	1
1929	2
1930	23
1931	17
1932	23
1933	23
1934	23
1935	3
1936	0
1937	23
1938	23
1939	5
1940	9
1941	17
1942	23
1943	5
1944	23
1945	11
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	10
1956	17
1957	0
1958	0
1959	0
1960	1
1961	10
1962	2
1963	8
1964	5
1965	0
1966	13
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	7
1976	7
1977	2
1978	7
1979	5
1980	0
1981	5
1982	8
1983	13
1984	5
1985	0
1986	0
1987	13
1988	2
1989	13
1990	13
1991	0
1992	0
1993	20
1994	10
1995	8
1996	3
1997	5
1998	2
1999	5
2000	2
2001	1
2002	27
2003	5
2004	13
2005	7
2006	11
2007	9
2008	27
2009	5
2010	13
2011	4
2012	5
2013	0
2014	5
2015	5
2016	16
2017	16
2018	27
2019	11
2020	5
2021	8
2022	5
2023	0
2024	13
2025	0
2026	4
2027	9
2028	5
2029	13
2030	0
2031	10
2032	1
2033	4
2034	10
2035	11
2036	23
2037	1
2038	2
2039	11
2040	5
2041	5
2042	2
2043	2
2044	2
2045	11
2046	5
2047	7
2048	11
2049	17
2050	2
2051	8
2052	8
2053	2
2054	0
2055	2
2056	14
2057	0
2058	14
2059	0
2060	23
2061	5
2062	0
2063	5
2064	0
2065	0
2066	0
2067	0
2068	0
2069	0
2070	0
2071	0
2072	0
2073	0
2074	2
2075	0
2076	0
2077	0
2078	0
2079	0
2080	0
2081	0
2082	0
2083	0
2084	0
2085	0
2086	0
2087	0
2088	0
2089	0
2090	0
2091	0
2092	0
2093	0
2094	0
2095	0
2096	2
2097	0
2098	0
2099	0
2100	0
2101	0
2102	0
2103	0
2104	0
2105	0
2106	0
2107	0
2108	13
2109	0
2110	0
2111	0
2112	0
2113	0
2114	0
2115	0
2116	0
2117	0
2118	0
2119	1
2120	0
2121	0
2122	2
2123	0
2124	0
2125	0
2126	0
2127	0
2128	0
2129	0
2130	0
2131	0
2132	0
2133	0
2134	0
2135	0
2136	0
2137	0
2138	0
2139	0
2140	0
2141	0
2142	0
2143	0
2144	2
2145	0
2146	0
2147	0
2148	0
2149	0
2150	0
2151	0
2152	0
2153	0
2154	0
2155	0
2156	0
2157	0
2158	0
2159	0
2160	4
2161	0
2162	0
2163	0
2164	0
2165	0
2166	0
2167	0
2168	0
2169	0
2170	0
2171	0
2172	0
2173	0
2174	0
2175	0
2176	0
2177	0
2178	0
2179	0
2180	0
2181	0
2182	0
2183	0
2184	0
2185	0
2186	0
2187	0
2188	0
2189	0
2190	0
2191	0
2192	0
2193	0
2194	0
2195	0
2196	0
2197	0
2198	0
2199	0
2200	0
2201	0
2202	0
2203	0
2204	0
2205	0
2206	0
2207	0
2208	0
2209	0
2210	0
2211	0
2212	0
2213	0
2214	0
2215	0
2216	0
2217	0
2218	0
2219	0
2220	0
2221	0
2222	0
2223	0
2224	0
2225	2
2226	13
2227	0
2228	0
2229	0
2230	0
2231	0
2232	0
2233	0
2234	0
2235	0
2236	0
2237	0
2238	0
2239	0
2240	0
2241	0
2242	0
2243	0
2244	0
2245	0
2246	0
2247	0
2248	0
2249	0
2250	0
2251	0
2252	0
2253	0
2254	0
2255	0
2256	0
2257	0
2258	0
2259	0
2260	0
2261	0
2262	0
2263	0
2264	0
2265	0
2266	0
2267	0
2268	0
2269	0
2270	0
2271	0
2272	0
2273	0
2274	0
2275	0
2276	0
2277	0
2278	0
2279	0
2280	0
2281	0
2282	0
2283	0
2284	0
2285	0
2286	0
2287	0
2288	0
2289	0
2290	0
2291	0
2292	0
2293	0
2294	0
2295	0
2296	0
2297	0
2298	0
2299	0
2300	0
2301	0
2302	0
2303	0
2304	0
2305	1
2306	0
2307	0
2308	0
2309	0
2310	0
2311	1
2312	0
2313	0
2314	0
2315	0
2316	0
2317	0
2318	0
2319	0
2320	0
2321	0
2322	0
2323	0
2324	0
2325	0
2326	0
2327	0
2328	0
2329	0
2330	0
2331	0
2332	0
2333	0
2334	0
2335	3
2336	3
2337	3
2338	0
2339	0
2340	1
2341	0
2342	0
2343	0
2344	0
2345	3
2346	1
2347	0
2348	0
2349	0
2350	0
2351	3
2352	5
2353	1
2354	22
2355	0
2356	22
2357	3
2358	11
2359	3
2360	3
2361	0
2362	0
2363	3
2364	22
2365	0
2366	4
2367	3
2368	0
2369	0
2370	3
2371	0
2372	0
2373	3
2374	11
2375	9
2376	4
2377	4
2378	3
2379	9
2380	23
2381	0
2382	23
2383	9
2384	0
2385	0
2386	9
2387	9
2388	0
2389	9
2390	0
2391	3
2392	9
2393	3
2394	3
2395	3
2396	23
2397	3
2398	3
2399	3
2400	0
2401	7
2402	3
2403	3
2404	3
2405	3
2406	3
2407	3
2408	3
2409	3
2410	0
2411	0
2412	3
2413	7
2414	1
2415	0
2416	7
2417	9
2418	7
2419	0
2420	1
2421	23
2422	11
2423	7
2424	18
2425	9
2426	9
2427	9
2428	23
2429	0
2430	9
2431	9
2432	7
2433	0
2434	0
2435	5
2436	9
2437	9
2438	1
2439	1
2440	0
2441	3
2442	0
2443	5
2444	0
2445	9
2446	1
2447	1
2448	16
2449	5
2450	15
2451	3
2452	3
2453	0
2454	5
2455	2
2456	4
2457	13
2458	22
2459	0
2460	1
2461	0
2462	0
2463	0
2464	0
2465	0
2466	5
2467	0
2468	11
2469	2
2470	11
2471	9
2472	2
2473	4
2474	11
2475	18
2476	13
2477	4
2478	2
2479	4
2480	13
2481	4
2482	11
2483	4
2484	0
2485	4
2486	9
2487	9
2488	3
2489	3
2490	3
2491	0
2492	0
2493	0
2494	0
2495	23
2496	23
2497	2
2498	2
2499	9
2500	8
2501	0
2502	9
2503	0
2504	0
2505	0
2506	0
2507	0
2508	0
2509	0
2510	0
2511	0
2512	0
2513	0
2514	0
2515	0
2516	0
2517	0
2518	0
2519	4
2520	0
2521	0
2522	0
2523	0
2524	0
2525	0
2526	0
2527	0
2528	0
2529	0
2530	0
2531	0
2532	0
2533	0
2534	0
2535	0
2536	0
2537	0
2538	0
2539	0
2540	0
2541	0
2542	0
2543	0
2544	0
2545	16
2546	2
2547	0
2548	23
2549	2
2550	8
2551	23
2552	23
2553	8
2554	13
2555	8
2556	13
2557	2
2558	2
2559	2
2560	13
2561	13
2562	13
2563	22
2564	2
2565	13
2566	13
2567	8
2568	2
2569	2
2570	2
2571	10
2572	10
2573	2
2574	2
2575	13
2576	8
2577	2
2578	2
2579	2
2580	2
2581	2
2582	2
2583	2
2584	2
2585	2
2586	2
2587	10
2588	2
2589	2
2590	2
2591	2
2592	2
2593	8
2594	22
2595	2
2596	2
2597	2
2598	2
2599	2
2600	2
2601	2
2602	22
2603	2
2604	2
2605	2
2606	2
2607	2
2608	2
2609	2
2610	2
2611	2
2612	2
2613	2
2614	9
2615	22
2616	2
2617	2
2618	2
2619	2
2620	2
2621	2
2622	2
2623	2
2624	2
2625	2
2626	2
2627	2
2628	2
2629	2
2630	2
2631	22
2632	1
2633	1
2634	22
2635	5
2636	4
2637	22
2638	17
2639	12
2640	23
2641	23
2642	23
2643	0
2644	23
2645	9
2646	9
2647	9
2648	2
2649	1
2650	2
2651	2
2652	2
2653	5
2654	5
2655	2
2656	5
2657	1
2658	17
2659	3
2660	1
2661	23
2662	23
2663	17
2664	1
2665	0
2666	1
2667	8
2668	8
2669	22
2670	1
2671	8
2672	18
2673	1
2674	13
2675	4
2676	1
2677	22
2678	4
2679	23
2680	22
2681	13
2682	0
2683	1
2684	2
2685	2
2686	2
2687	8
2688	4
2689	2
2690	2
2691	5
2692	5
2693	5
2694	5
2695	2
2696	2
2697	23
2698	0
2699	0
2700	0
2701	23
2702	0
2703	6
2704	9
2705	0
2706	9
2707	2
2708	0
2709	13
2710	0
2711	23
2712	0
2713	0
2714	0
2715	0
2716	8
2717	0
2718	0
2719	0
2720	0
2721	0
2722	0
2723	0
2724	0
2725	0
2726	0
2727	0
2728	1
2729	1
2730	0
2731	0
2732	1
2733	1
2734	0
2735	1
2736	0
2737	0
2738	0
2739	0
2740	0
2741	1
2742	0
2743	0
2744	0
2745	0
2746	0
2747	0
2748	23
2749	13
2750	2
2751	2
2752	9
2753	9
2754	9
2755	22
2756	2
2757	22
2758	2
2759	2
2760	2
2761	23
2762	5
2763	22
2764	5
2765	7
2766	9
2767	22
2768	11
2769	9
2770	9
2771	7
2772	0
2773	3
2774	5
2775	0
2776	0
2777	23
2778	5
2779	23
2780	2
2781	23
2782	17
2783	27
2784	2
2785	2
2786	2
2787	2
2788	2
2789	7
2790	9
2791	9
2792	2
2793	13
2794	0
2795	0
2796	0
2797	0
2798	0
2799	0
2800	0
2801	0
2802	0
2803	0
2804	0
2805	0
2806	0
2807	0
2808	0
2809	3
2810	0
2811	0
2812	0
2813	0
2814	0
2815	0
2816	0
2817	0
2818	0
2819	0
2820	0
2821	0
2822	0
2823	0
2824	0
2825	0
2826	0
2827	0
2828	0
2829	0
2830	0
2831	0
2832	0
2833	0
2834	0
2835	0
2836	0
2837	1
2838	17
2839	0
2840	0
2841	0
2842	3
2843	3
2844	4
2845	1
2846	1
2847	1
2848	1
2849	1
2850	9
2851	9
2852	0
2853	0
2854	9
2855	9
2856	1
2857	9
2858	9
2859	9
2860	9
2861	9
2862	9
2863	9
2864	9
2865	9
2866	1
2867	23
2868	9
2869	9
2870	21
2871	0
2872	0
2873	0
2874	0
2875	0
2876	0
2877	0
2878	0
2879	0
2880	0
2881	9
2882	7
2883	15
2884	10
2885	11
2886	0
2887	18
2888	9
2889	9
2890	1
2891	0
2892	3
2893	9
2894	0
2895	0
2896	0
2897	9
2898	17
2899	9
2900	1
2901	9
2902	9
2903	9
2904	17
2905	9
2906	9
2907	9
2908	9
2909	9
2910	9
2911	9
2912	9
2913	4
2914	8
2915	10
2916	11
2917	4
2918	23
2919	3
2920	18
2921	27
2922	27
2923	9
2924	0
2925	0
2926	0
2927	0
2928	0
2929	0
2930	16
2931	9
2932	23
2933	0
2934	0
2935	0
2936	27
2937	5
2938	9
2939	13
2940	8
2941	17
2942	17
2943	11
2944	9
2945	9
2946	11
2947	9
2948	0
2949	11
2950	9
2951	9
2952	0
2953	9
2954	10
2955	2
2956	17
2957	2
2958	2
2959	9
2960	3
2961	1
2962	17
2963	9
2964	2
2965	5
2966	22
2967	10
2968	16
2969	0
2970	0
2971	5
2972	12
2973	3
2974	1
2975	13
2976	4
2977	4
2978	10
2979	22
2980	16
2981	4
2982	11
2983	1
2984	6
2985	5
2986	9
2987	17
2988	8
2989	0
2990	0
2991	0
2992	8
2993	17
2994	9
2995	23
2996	20
