uid	iid
9	666
9	549
9	492
9	702
9	497
9	657
9	484
9	548
9	588
9	510
9	710
9	716
9	522
9	705
9	625
9	579
9	681
9	682
9	632
9	186
9	518
9	640
9	557
9	713
9	573
9	680
9	635
9	574
9	652
9	172
9	633
9	718
9	596
9	723
9	563
9	655
9	577
9	575
9	485
9	490
9	481
9	729
9	543
9	693
9	288
9	521
9	623
9	179
9	53
9	473
9	692
9	493
9	661
9	515
9	733
9	709
9	382
9	660
9	506
9	756
9	527
9	747
9	677
9	474
9	585
9	748
9	703
9	578
9	568
9	618
9	720
9	744
9	487
9	612
9	324
9	644
9	537
9	567
9	678
9	554
9	695
9	626
9	668
9	608
9	604
9	520
9	498
9	580
9	683
9	654
9	662
9	54
9	591
9	665
9	642
9	701
9	502
9	88
9	643
9	541
9	742
9	412
9	494
9	738
9	650
9	732
9	649
9	674
9	617
9	469
9	571
9	638
9	615
9	699
9	472
9	483
9	624
9	478
9	600
9	631
9	400
9	545
9	509
9	547
9	15
9	728
9	511
9	741
9	503
9	679
9	749
9	606
9	431
9	589
9	598
9	550
9	592
9	736
9	689
9	198
9	39
9	706
9	590
9	704
9	529
9	562
9	551
9	586
9	719
9	653
9	645
9	622
9	755
9	569
9	739
9	614
9	495
9	726
9	721
9	727
9	477
9	526
9	752
9	505
9	513
9	675
9	619
9	576
9	637
9	685
9	555
9	629
9	746
9	531
9	471
9	687
9	639
10	759
10	779
10	760
10	778
10	788
10	781
10	767
10	167
10	762
10	761
10	783
10	774
10	785
10	773
10	768
10	771
10	786
10	765
10	780
10	592
10	40
10	757
11	790
11	796
11	408
11	791
11	795
11	793
11	792
12	835
12	831
12	829
12	817
12	843
12	836
12	820
12	816
12	842
12	560
12	422
12	813
12	803
12	823
12	315
12	506
12	809
12	840
12	804
12	827
12	802
12	837
12	839
12	844
12	832
12	825
12	821
12	847
12	826
12	849
12	819
12	833
12	808
12	443
12	822
12	841
12	834
13	851
13	278
13	855
13	853
13	856
13	859
13	854
13	850
14	613
14	867
14	920
14	866
14	879
14	588
14	900
14	937
14	882
14	888
14	941
14	756
14	861
14	873
14	876
14	54
14	943
14	353
14	938
14	403
14	926
14	911
14	917
14	898
14	902
14	897
14	864
14	936
14	891
14	664
14	870
14	935
14	893
14	863
14	923
14	889
14	442
14	895
14	944
14	934
14	865
14	918
14	940
14	912
14	885
14	927
14	881
14	942
14	946
14	880
14	874
14	883
14	875
14	932
14	933
14	914
14	901
14	33
14	862
14	890
14	903
14	925
14	922
14	929
15	1080
15	1025
15	984
15	1117
15	166
15	574
15	733
15	1078
15	959
15	1069
15	1070
15	716
15	1042
15	292
15	1059
15	1005
15	83
15	1050
15	740
15	999
15	1038
15	1105
15	688
15	961
15	994
15	990
15	1021
15	964
15	1111
15	1087
15	1027
15	1120
15	1116
15	573
15	339
15	1063
15	713
15	1013
15	1031
15	1055
15	1008
15	338
15	995
15	1101
15	139
15	1048
15	1102
15	1051
15	1010
15	953
15	992
15	1061
15	921
15	307
15	980
15	1023
15	1107
15	285
15	748
15	756
15	436
15	630
15	1081
15	1056
15	1045
15	1029
15	952
15	983
15	1125
15	1022
15	1062
15	1014
15	1037
15	1109
15	988
15	1099
15	693
15	968
15	643
15	966
15	474
15	1044
15	1028
15	235
15	845
15	1012
15	1058
15	1018
15	978
15	559
15	1103
15	998
15	1088
15	970
15	1033
15	1039
15	1122
15	996
15	1077
15	1047
15	1065
15	1011
15	1032
15	960
15	1079
15	1092
15	985
15	1066
15	704
15	1108
15	982
15	1015
15	1040
15	1106
15	484
15	1057
15	1020
15	1075
15	1067
15	134
15	185
15	1009
15	1006
15	971
15	685
15	1017
15	1001
15	708
15	444
15	315
15	974
15	437
15	969
15	1007
15	741
15	962
15	1110
15	1098
15	254
15	1000
15	1123
15	345
15	349
15	967
15	1072
15	1082
15	1041
16	1132
16	310
16	1129
16	1131
16	1127
16	1135
16	1134
17	1144
17	960
17	963
17	1150
17	1153
17	1141
17	305
17	1157
17	115
17	1158
17	1148
17	1156
17	592
17	1152
17	1145
17	1154
17	1149
17	190
17	1136
17	812
17	1160
17	191
17	503
17	1151
17	1147
17	335
17	1162
18	1181
18	1164
18	1174
18	1169
18	1
18	1165
18	1185
18	1175
18	1172
18	1180
18	1187
18	275
18	1173
18	1178
18	1176
18	1183
18	1167
18	52
18	1182
19	1192
19	1202
19	1188
19	1189
19	1200
19	1198
19	615
19	1197
19	867
19	1190
19	1191
19	1193
20	1204
20	931
20	1228
20	883
20	872
20	1208
20	1215
20	1218
20	1217
20	1234
20	1224
20	488
20	1231
20	748
20	1206
20	1226
20	832
20	1205
20	208
20	480
20	1227
20	1220
20	1223
20	211
20	915
20	1212
20	1235
20	1210
20	1221
20	1216
20	1214
21	1251
21	1246
21	1249
21	945
21	1240
21	407
21	1153
21	1239
21	449
21	1248
21	1242
21	1252
21	156
21	1237
21	118
21	1253
22	1262
22	322
22	1263
22	630
22	1268
22	1260
22	665
22	1259
22	1261
22	208
22	929
22	1095
22	1265
22	449
22	945
22	1257
22	1255
23	551
23	1011
23	155
23	1025
23	560
23	1279
23	552
23	1325
23	1327
23	1283
23	1295
23	1118
23	1294
23	1312
23	1284
23	1323
23	1271
23	1313
23	1320
23	1326
23	1319
23	644
23	1080
23	1306
23	299
23	1322
23	1300
23	700
23	1290
23	1288
23	1226
23	1324
23	1330
23	1285
23	1328
23	174
23	1314
23	1308
23	1305
23	1292
23	545
23	745
23	1277
23	1299
23	53
23	1296
23	1310
23	1309
23	1317
23	1278
23	1293
23	536
23	612
23	1303
23	1329
24	1332
24	1334
24	1333
24	1335
25	364
25	1356
25	1365
25	1353
25	1339
25	1354
25	1341
25	1346
25	433
25	1349
25	1364
25	215
25	208
25	1095
25	355
25	1355
25	872
25	1352
25	1361
25	522
25	928
25	178
25	1239
25	896
25	1347
25	1366
25	1359
25	1348
25	1357
25	1345
25	1233
25	1362
25	910
25	1358
26	1372
26	1369
26	1370
26	1368
26	1373
27	1378
27	1180
27	1382
27	795
27	1386
27	1380
27	119
27	1376
27	1377
27	1389
27	1383
27	1381
27	1387
27	1166
28	1415
28	1418
28	1420
28	1424
28	309
28	1404
28	457
28	381
28	399
28	1237
28	636
28	687
28	1403
28	1411
28	1410
28	1414
28	1398
28	1396
28	1425
28	1393
28	1243
28	1341
28	1401
28	1416
28	1422
28	463
28	1402
28	1413
28	1407
29	1427
29	1429
29	1365
29	620
29	929
29	1437
29	1206
29	191
29	1434
29	1438
29	612
29	628
29	1058
29	1426
29	254
29	1439
29	1057
30	893
30	153
30	1447
30	1488
30	1486
30	767
30	1466
30	1472
30	1478
30	1477
30	1470
30	378
30	1483
30	1473
30	1446
30	390
30	1493
30	1441
30	1481
30	96
30	1487
30	925
30	1453
30	1455
30	1471
30	901
30	1192
30	1460
30	1454
30	1491
30	1469
30	1237
30	1467
30	1482
30	1465
30	1449
30	1489
30	1457
30	1458
30	883
30	922
30	348
31	1503
31	1342
31	1502
31	1498
31	1499
31	1496
31	1501
31	208
32	423
32	1515
32	1508
32	1592
32	1517
32	1572
32	523
32	560
32	643
32	159
32	1514
32	412
32	1582
32	1573
32	1581
32	1552
32	342
32	1520
32	336
32	1583
32	1530
32	1511
32	1519
32	1568
32	1516
32	1584
32	1546
32	910
32	634
32	989
32	1527
32	1504
32	458
32	1110
32	1413
32	1542
32	1548
32	1506
32	1554
32	694
32	1561
32	1557
32	1532
32	637
32	615
32	679
32	922
32	1545
32	244
32	1513
32	1570
32	1591
32	965
32	1560
32	683
32	948
32	1526
32	1544
32	1139
32	1574
32	1543
32	1509
32	1367
32	1596
32	479
32	1389
32	191
32	1533
32	1055
32	1563
32	1569
32	953
32	1088
32	689
32	1553
32	1541
32	1588
32	221
32	583
32	1580
32	1595
32	1579
32	1576
32	277
32	1555
32	1597
32	1296
32	1566
33	1301
33	1604
33	1606
33	1608
33	1610
33	1609
33	1601
33	1614
33	1618
33	1612
33	1623
33	1611
33	1622
33	1616
33	1613
33	1605
33	1248
33	1619
34	937
34	1630
34	1642
34	1641
34	925
34	1633
34	1637
34	1643
34	1626
34	1632
34	1638
34	1631
34	1332
34	1635
34	1634
34	1629
34	1639
34	1628
35	364
35	1374
35	370
35	976
35	1652
35	1657
35	1647
35	1650
35	1346
35	1166
35	1651
35	1151
35	1656
35	407
35	1654
36	851
36	1660
36	1658
37	1664
37	1154
37	1661
37	1164
37	792
37	1486
37	1663
38	1689
38	1688
38	1674
38	1666
38	1682
38	1675
38	1056
38	1157
38	1668
38	1678
38	1673
38	1148
38	1692
38	1677
38	1680
38	1669
38	1072
38	1676
38	1665
38	1672
38	1681
39	1709
39	1712
39	1704
39	631
39	1374
39	1698
39	1705
39	1711
39	1696
39	1694
39	1701
39	1713
39	1706
39	1695
39	1714
40	417
40	526
40	1349
40	1363
40	1719
40	1141
40	1717
40	1716
40	1715
41	884
41	925
41	1531
41	1407
41	1723
41	400
42	1725
42	1381
42	1726
43	1732
43	1737
43	153
43	1733
43	1736
43	1731
43	1728
43	934
43	1740
43	1738
43	1734
44	1743
44	1744
44	1741
44	694
45	1722
45	449
45	188
45	1775
45	1762
45	1830
45	717
45	1791
45	1831
45	1386
45	619
45	1868
45	685
45	71
45	625
45	1853
45	883
45	653
45	1760
45	1772
45	156
45	1766
45	1846
45	1844
45	1757
45	1718
45	1778
45	1859
45	1818
45	1331
45	692
45	1787
45	1857
45	1855
45	208
45	1752
45	1781
45	442
45	415
45	1783
45	652
45	1811
45	809
45	1862
45	1746
45	1059
45	342
45	1748
45	1765
45	1816
45	1118
45	1861
45	1782
45	1836
45	925
45	1064
45	189
45	1851
45	776
45	736
45	562
45	1807
45	488
45	111
45	1031
45	999
45	130
45	618
45	1847
45	712
45	718
45	884
45	89
45	679
45	644
45	1837
45	1769
45	1848
45	938
45	1665
45	1832
45	1810
45	1795
45	1805
45	1849
45	1813
45	1856
45	1629
45	481
45	574
45	1747
45	1825
45	73
45	1803
45	1839
45	1808
45	1785
45	1108
45	1774
45	526
45	1798
45	984
45	588
45	223
45	955
45	1770
45	1834
45	1821
45	1869
45	1642
45	1790
45	1858
45	1157
45	1799
45	172
45	1751
45	1835
45	1786
45	1792
45	93
45	1771
45	1793
45	33
45	1146
45	440
45	888
45	575
45	1756
45	1796
45	320
45	1820
45	1824
45	328
46	1882
46	1872
46	249
46	1884
46	1886
46	1204
46	333
46	1682
46	1082
46	1881
46	1885
46	1186
46	1873
46	1880
46	673
46	1876
46	1532
46	1883
46	1889
46	1128
46	1877
46	1215
46	689
46	1890
46	1887
47	921
47	1897
47	1898
47	896
48	1907
48	1546
48	1906
48	1905
48	620
48	60
48	1904
48	1909
48	1908
48	1902
49	111
49	920
49	1919
49	1914
49	1916
49	1912
49	1918
50	3
50	1931
50	1120
50	1928
50	1938
50	1932
50	1924
50	1406
50	1929
50	232
50	1927
50	1934
51	398
51	1943
51	386
51	1944
51	1799
51	1186
51	1942
51	1939
52	1952
52	1947
52	1959
52	137
52	1948
52	153
52	1950
52	928
52	1953
52	1954
52	1958
52	934
52	1956
52	199
52	1233
52	1152
52	84
52	1957
52	1951
52	1564
52	1464
52	115
52	232
52	1357
53	2015
53	1991
53	1898
53	1284
53	294
53	2016
53	2010
53	1981
53	2000
53	1438
53	2026
53	353
53	2017
53	1897
53	1989
53	1715
53	1994
53	1962
53	1205
53	2009
53	1214
53	1993
53	1988
53	1828
53	1964
53	292
53	2032
53	1995
53	1984
53	1859
53	2023
53	909
53	338
53	2033
53	533
53	1978
53	2012
53	625
53	135
53	2021
53	2006
53	2001
53	1970
53	2013
53	1559
53	1966
53	644
53	1382
53	2030
53	1997
53	592
53	2007
53	1998
53	2020
53	1999
53	72
53	1980
53	1965
53	1104
53	1554
53	1975
53	1992
53	179
53	1150
53	1833
53	1779
53	1459
53	1986
53	2019
53	1976
53	1973
53	1963
53	1979
53	1996
53	2029
53	270
53	2008
54	1436
54	2040
54	2036
54	2039
54	1249
54	1373
54	1569
54	2038
55	795
55	2046
55	2048
55	2051
55	2042
55	617
55	2047
55	2045
55	2050
55	1064
55	1663
55	2052
55	1168
55	968
56	288
56	2063
56	356
56	2055
56	1643
56	2058
56	206
56	2040
56	2062
56	2060
56	2054
56	2059
56	2057
57	2023
57	2189
57	63
57	2271
57	2086
57	1485
57	170
57	412
57	1382
57	2330
57	177
57	2163
57	2187
57	2247
57	2085
57	48
57	2314
57	2343
57	2245
57	151
57	2203
57	2122
57	24
57	1999
57	1294
57	2134
57	2260
57	1958
57	2172
57	2108
57	878
57	1827
57	2238
57	510
57	2277
57	23
57	1243
57	1226
57	2093
57	121
57	2322
57	1417
57	2348
57	2205
57	1246
57	1259
57	2079
57	2138
57	773
57	2117
57	2309
57	6
57	2145
57	2179
57	1946
57	1859
57	9
57	2286
57	2169
57	381
57	2176
57	2213
57	2265
57	2332
57	2305
57	2232
57	2216
57	2217
57	1458
57	2227
57	57
57	2112
57	2104
57	2308
57	1242
57	1460
57	2171
57	2190
57	1206
57	1971
57	2257
57	73
57	2078
57	2223
57	2222
57	2103
57	54
57	118
57	2253
57	11
57	2335
57	2199
57	2084
57	2110
57	2090
57	2318
57	104
57	2054
57	2149
57	2301
57	2291
57	2070
57	2355
57	2274
57	2130
57	84
57	2312
57	1728
57	2124
57	2087
57	2175
57	1915
57	111
57	2297
57	1646
57	2121
57	1192
57	2351
57	86
57	2107
57	2196
57	1456
57	2315
57	2285
57	2326
57	2095
57	2066
57	2346
57	93
57	2162
57	2101
57	2352
57	2345
57	49
57	2228
57	91
57	2267
57	2098
57	2136
57	2166
57	8
57	2075
57	2113
57	2215
57	1917
57	1276
57	2065
57	2296
57	2142
57	2174
57	2141
57	2202
57	1603
57	2325
57	2338
57	2307
57	2279
57	2273
57	2069
57	2342
57	2316
57	2128
57	114
57	1030
57	2076
57	2288
57	2194
57	1413
57	2074
57	888
57	861
57	2323
57	1344
57	1357
57	787
57	2146
57	2119
57	137
57	2287
57	2164
57	500
57	2140
57	178
57	2150
57	2105
57	2159
57	2263
57	263
57	970
57	2353
57	2337
57	2298
57	44
57	2241
57	2186
57	2230
57	2350
57	2160
57	274
57	15
57	2116
57	758
57	2256
57	2237
57	512
57	2083
57	2225
57	2270
57	2360
57	371
57	2193
57	2233
57	2243
57	2292
57	2118
57	2143
57	40
57	2206
57	2013
57	2094
57	1968
57	25
57	2304
57	2067
57	2144
57	1562
57	2313
57	1742
57	1491
57	515
57	1638
57	2125
57	2262
57	2354
57	2300
57	2139
57	97
57	116
57	2361
57	1484
57	1339
57	2115
57	2147
57	2276
57	1445
57	2239
57	2157
57	2280
57	1409
57	2097
57	2137
57	2127
57	2168
57	2091
57	2275
57	1734
57	35
57	2234
57	58
57	2198
57	1124
57	2180
57	2082
57	1066
57	2156
57	2362
57	1987
57	113
57	2211
57	2080
57	2364
57	2331
57	2244
57	2321
57	37
57	1455
58	2390
58	2409
58	2433
58	1759
58	415
58	433
58	1248
58	2401
58	517
58	30
58	86
58	2427
58	2439
58	368
58	2391
58	981
58	52
58	2377
58	2149
58	2412
58	2134
58	2381
58	2378
58	2370
58	111
58	1632
58	2385
58	2089
58	899
58	2135
58	115
58	792
58	1710
58	1745
58	2402
58	6
58	2367
58	2431
58	1218
58	2180
58	153
58	2410
58	2426
58	1349
58	2403
58	1603
58	57
58	1921
58	2379
58	2328
58	350
58	2435
58	2210
58	2309
58	2416
58	1421
58	2420
58	2220
58	2434
58	2441
58	2400
58	1339
58	2331
58	188
58	2147
58	2395
58	1189
58	2077
58	2389
58	2404
58	1653
58	2369
58	2384
58	2425
58	93
58	2432
58	2386
58	1483
58	896
58	2380
58	98
58	2436
58	2376
58	2428
58	2366
58	2438
58	1840
58	1464
58	908
58	2423
58	2399
58	1946
58	2284
58	2238
58	112
58	2368
58	449
58	1626
58	2388
58	2419
58	2387
58	2314
58	2382
58	664
59	2447
59	108
59	2450
59	2442
59	2445
59	2180
59	2449
59	2452
59	2249
60	475
60	2482
60	2458
60	2461
60	751
60	2465
60	2350
60	2481
60	2486
60	2278
60	1426
60	2473
60	780
60	146
60	419
60	825
60	2475
60	2062
60	2476
60	2457
60	1558
60	2484
60	2471
60	39
60	2477
60	2468
60	1313
60	449
60	2462
60	23
60	2470
60	2376
60	2454
60	27
60	1206
60	1187
60	1013
60	2483
60	2463
60	1458
60	420
60	2467
60	2456
60	2479
60	78
60	35
61	232
61	45
61	364
61	927
61	2491
61	67
61	2488
62	1734
62	2492
62	2496
62	2495
63	2500
63	2498
63	1136
63	1541
63	1789
63	864
63	2497
64	2502
64	2163
64	1632
64	2508
64	2494
64	2510
64	1458
64	2523
64	1452
64	2533
64	875
64	2544
64	2507
64	2531
64	2535
64	2528
64	2514
64	2539
64	2543
64	2525
64	2084
64	2517
64	861
64	2223
64	2538
64	2520
64	2541
64	2518
64	1827
64	2526
64	2530
64	2536
64	2521
64	2220
64	223
64	2098
64	2542
64	2504
64	2349
65	2548
65	2552
65	2551
65	2547
65	2553
65	2549
66	1783
66	285
66	2554
66	2074
66	2559
66	1084
66	2558
66	244
66	2555
66	948
66	2561
66	2560
66	970
66	2556
66	1022
66	1591
66	2476
67	2571
67	2583
67	1680
67	2568
67	1888
67	1145
67	2605
67	967
67	2621
67	2579
67	2122
67	2601
67	963
67	962
67	2586
67	2617
67	1205
67	2603
67	1037
67	1038
67	1684
67	2620
67	2594
67	2624
67	343
67	2606
67	257
67	1257
67	2570
67	2604
67	2591
67	2599
67	2575
67	2623
67	2589
67	706
67	2569
67	961
67	2590
67	2578
67	2576
67	640
67	2622
67	335
67	332
67	2608
67	1536
67	1128
67	2610
67	2598
67	2600
67	2625
67	1022
67	2596
67	2572
67	2585
67	823
67	2581
67	2561
67	1753
67	2498
67	2607
67	2609
67	2580
67	1756
67	2614
67	1386
67	753
67	652
67	1006
67	2616
68	2636
68	510
68	2638
68	278
68	57
68	2633
68	2632
69	1602
69	2641
69	2640
70	2647
70	2645
70	2646
71	1545
71	366
71	2649
71	2655
71	1674
71	2648
71	913
71	2653
71	2135
71	2656
71	178
71	1533
71	1742
71	2073
71	339
71	2096
71	812
72	2659
72	2658
72	1629
72	2657
73	2086
73	598
73	2686
73	1545
73	1633
73	2684
73	2665
73	2680
73	2670
73	483
73	667
73	2679
73	2674
73	212
73	2683
73	308
73	2682
73	2673
73	2666
73	2668
73	79
73	2687
73	481
73	1036
73	1191
73	1068
73	2688
73	167
74	1696
74	2691
74	260
74	1222
74	2690
74	461
74	992
74	2694
74	993
74	1297
74	555
74	2693
75	2696
75	925
75	788
76	2699
76	2698
76	2701
76	2068
76	2700
76	2697
76	227
76	1872
77	2687
77	2703
77	296
77	252
78	1622
78	1624
78	408
78	32
79	1497
79	2734
79	2100
79	2712
79	2748
79	2737
79	2747
79	2238
79	311
79	2293
79	2124
79	40
79	1742
79	113
79	1419
79	2086
79	2206
79	2732
79	2683
79	2742
79	2743
79	2727
79	2709
79	478
79	2720
79	564
79	2726
79	112
79	1403
79	2414
79	2739
79	232
79	2716
79	1132
79	2746
79	3
79	2501
79	2223
79	2713
79	1187
79	2725
79	150
79	99
79	152
79	2149
79	2253
79	2735
79	2433
79	2740
79	30
79	2721
79	2728
79	2185
79	315
79	11
79	767
79	2715
80	597
80	2346
80	1778
80	2756
80	115
80	2768
80	1009
80	2754
80	2758
80	340
80	2767
80	2752
80	1157
80	2611
80	2759
80	1332
80	2629
80	2764
80	353
80	2765
80	2749
80	1347
80	2766
80	2769
80	2770
80	2755
80	2761
80	519
80	2631
81	2777
81	2776
81	2781
81	796
81	733
81	2774
81	498
81	2772
81	2701
81	526
82	310
82	2783
82	756
82	2061
83	1533
83	1555
83	1015
83	2788
83	54
83	2599
83	1214
84	528
84	2791
84	935
84	1193
84	67
84	1825
84	1635
84	821
84	2793
85	2775
85	2541
85	1453
85	2823
85	492
85	2304
85	2814
85	2800
85	115
85	2822
85	2835
85	2824
85	2807
85	2834
85	2163
85	2797
85	2325
85	2830
85	2811
85	1472
85	2279
85	2805
85	2243
85	2736
85	2776
85	2803
85	898
85	2836
85	2493
85	2280
85	1906
85	2808
85	1238
85	2815
85	2170
85	2149
85	1228
85	1487
85	2821
85	2181
85	2236
85	2828
85	2812
85	2810
85	2505
85	364
85	2794
85	2833
86	455
86	2838
86	2841
86	2837
86	2840
86	2843
87	2858
87	2868
87	2862
87	2849
87	2856
87	2766
87	2869
87	925
87	2854
87	1364
87	1794
87	1622
87	927
87	2848
87	2861
87	937
87	2855
87	2863
87	2853
87	938
87	350
87	911
87	883
87	2845
87	921
87	872
87	2852
88	2249
88	2512
88	687
88	2328
88	2253
88	2872
88	2106
88	2172
88	2236
88	2776
88	2873
88	2124
88	2876
88	2332
88	2220
88	2362
88	2714
89	2884
89	976
89	402
89	1661
89	2883
89	2885
89	1271
89	866
89	787
90	910
90	872
90	1632
90	2896
90	1332
90	927
90	938
90	883
90	931
90	2889
90	1363
90	687
90	2887
90	407
90	2890
90	355
90	1734
90	1703
90	2894
91	2899
91	2905
91	91
91	872
91	1020
91	2240
91	1364
91	115
91	922
91	32
91	407
91	2912
91	2900
91	921
91	127
91	645
91	2906
91	2247
91	2897
91	2907
91	2426
91	2909
91	931
91	937
91	1231
91	2911
91	2267
91	2902
91	938
91	353
91	910
92	2919
92	2914
92	2916
92	2920
92	2918
92	1995
92	2899
92	2392
92	656
92	2922
92	2654
92	2915
93	1649
93	937
93	1421
93	1135
93	542
93	2932
93	153
93	261
93	2925
93	2928
93	2934
93	2923
93	2879
93	2933
93	2150
93	2927
94	1364
94	576
94	2861
94	208
94	1347
94	1029
94	2855
94	2938
94	115
94	2946
94	2949
94	1113
94	1233
94	2951
94	2952
94	2941
94	197
94	2953
94	1574
94	2954
94	407
94	1042
94	1005
94	2944
94	2936
94	1231
94	2939
94	2232
94	2943
94	862
95	2956
95	2957
95	837
95	2619
96	2480
96	2965
96	2968
96	2958
96	1652
96	1309
96	2966
96	2695
96	2967
96	1095
96	1833
96	2961
96	983
96	2960
97	2794
97	2700
97	2776
97	2970
97	2973
97	2106
97	2971
97	2705
98	2160
98	2982
98	2978
98	1785
98	2980
98	2975
98	2983
98	2976
98	2981
98	2979
98	1174
99	2481
99	286
99	350
99	2998
99	2991
99	2986
99	1937
99	2048
99	2424
99	555
99	2995
99	1206
99	2984
99	115
99	2985
99	105
99	2989
99	2996
100	211
100	3001
100	791
100	1681
101	188
101	1995
101	1004
101	640
101	3019
101	1938
101	3020
101	1531
101	1564
101	3002
101	2448
101	1788
101	154
101	2982
101	3021
101	1833
101	3013
101	3006
101	719
101	1166
101	3014
101	559
101	3008
101	3016
101	2587
101	1565
101	1157
101	3015
101	3004
101	1190
101	415
101	428
101	630
102	3032
102	3036
102	3044
102	3039
102	3047
102	3050
102	3037
102	3038
102	2995
102	3034
102	3025
102	3033
102	3046
102	3035
102	3030
102	3048
102	743
102	3029
102	3045
102	3041
102	3023
102	3026
103	1783
103	3055
103	1144
103	3004
103	3056
103	470
103	787
103	115
103	3053
103	3051
103	3058
103	3054
104	3064
104	1944
104	2049
104	310
104	3065
104	3061
104	3066
104	3063
104	1710
105	786
105	3068
105	548
105	3069
105	781
106	3081
106	2477
106	2690
106	3078
106	3084
106	353
106	1366
106	3088
106	3074
106	3079
106	1049
106	3083
106	3077
106	521
106	1218
107	3118
107	3115
107	2718
107	3099
107	2381
107	2477
107	2775
107	3096
107	3125
107	1829
107	3089
107	3074
107	3107
107	3103
107	2041
107	3123
107	2172
107	3098
107	3130
107	3090
107	1406
107	2298
107	1565
107	2015
107	3106
107	3121
107	454
107	3116
107	2149
107	3128
107	2770
107	617
107	2643
107	3095
107	1192
107	2746
107	3113
107	3104
107	187
107	3097
107	773
107	1403
107	3075
107	741
107	3126
107	3111
107	2493
107	3102
107	449
107	1443
107	2341
107	3092
107	3119
107	1170
108	649
108	1725
108	639
108	2946
109	590
109	3135
109	2498
110	3137
110	1249
110	1198
110	3139
110	1794
110	604
110	3138
110	3144
110	3136
111	408
111	1892
111	248
111	2045
111	1249
111	3146
111	733
111	2328
111	968
111	1108
111	1170
111	1438
111	3150
112	530
112	3173
112	883
112	2491
112	3182
112	911
112	3178
112	3177
112	3186
112	2135
112	3195
112	3183
112	3130
112	2244
112	3169
112	2330
112	2437
112	2534
112	3176
112	3157
112	3187
112	433
112	3159
112	2079
112	2360
112	3166
112	1760
112	3155
112	2945
112	3100
112	2906
112	1940
112	937
112	3168
112	2293
112	3181
112	273
112	3180
112	3191
112	1242
112	2220
112	931
112	3164
112	3171
112	355
112	3175
112	3201
112	3167
112	2855
112	2933
112	2093
112	1632
112	1971
112	2504
112	3196
112	3165
112	3199
112	3154
112	3174
112	153
112	2306
112	1986
112	3190
112	896
113	2562
113	1569
113	3211
113	3214
113	54
113	3223
113	3205
113	3217
113	3221
113	198
113	3202
113	1497
113	1652
113	694
113	3208
113	3220
113	972
113	1027
113	1116
113	1267
113	3206
113	653
113	3017
113	2144
113	1541
113	1372
113	397
113	1266
113	1787
113	1685
113	3224
113	3222
113	3225
113	1676
113	2586
113	2061
113	1851
114	3233
114	3229
114	3237
114	3238
114	1371
114	3232
114	3234
114	3231
114	795
115	3121
115	3245
115	3240
115	1174
115	829
115	3242
115	3244
116	3250
116	3248
116	3225
116	1529
116	2809
116	3249
117	3252
117	3253
117	539
117	683
118	144
118	1975
118	691
